Gene	Gene_name	GO_class	Contributor	Organism	Evidence	Evidence_with	Reference	Date
cfdp1	craniofacial development protein 1	GO:0007275	ZFIN	Danio rerio	IEA	UniProtKB-KW:KW-0217	ZFIN:ZDB-PUB-020723-1	20210302
cfdp1	craniofacial development protein 1	GO:0000776	ZFIN	Danio rerio	IEA	UniProtKB-KW:KW-0995	ZFIN:ZDB-PUB-020723-1	20210302
cfdp1	craniofacial development protein 1	GO:0005694	ZFIN	Danio rerio	IEA	UniProtKB-KW:KW-0158	ZFIN:ZDB-PUB-020723-1	20210302
cfdp1	craniofacial development protein 1	GO:0005634	GO_Central	Danio rerio	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
cfdp1	craniofacial development protein 1	GO:0006338	GO_Central	Danio rerio	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
cfdp1	craniofacial development protein 1	GO:0000812	GO_Central	Danio rerio	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
cfdp1	craniofacial development protein 1	GO:1904888	ZFIN	Danio rerio	IMP	ZFIN:ZDB-MRPHLNO-180425-1	PMID:29107067	20180430
cfdp1	craniofacial development protein 1	GO:0030282	ZFIN	Danio rerio	IMP	ZFIN:ZDB-MRPHLNO-180425-1	PMID:29107067	20180430
Cfdp1	craniofacial development protein 1	GO:0000775	UniProt	Mus musculus	IEA	UniProtKB-KW:KW-0137	MGI:MGI:1354194|GO_REF:0000004	20211212
Cfdp1	craniofacial development protein 1	GO:0000776	UniProt	Mus musculus	IEA	UniProtKB-KW:KW-0995	MGI:MGI:1354194|GO_REF:0000004	20211212
Cfdp1	craniofacial development protein 1	GO:0005604	MGI	Mus musculus	TAS		MGI:MGI:2384464|PMID:12153613	20030403
Cfdp1	craniofacial development protein 1	GO:0005694	UniProt	Mus musculus	IEA	UniProtKB-KW:KW-0158	MGI:MGI:1354194|GO_REF:0000004	20211212
Cfdp1	craniofacial development protein 1	GO:0007155	MGI	Mus musculus	IDA		MGI:MGI:2384464|PMID:12153613	20030403
Cfdp1	craniofacial development protein 1	GO:0007275	UniProt	Mus musculus	IEA	UniProtKB-KW:KW-0217	MGI:MGI:1354194|GO_REF:0000004	20211212
Cfdp1	craniofacial development protein 1	GO:0008360	MGI	Mus musculus	IDA		MGI:MGI:2384464|PMID:12153613	20030403
Cfdp1	craniofacial development protein 1	GO:0042127	MGI	Mus musculus	IDA		MGI:MGI:2384464|PMID:12153613	20030403
Cfdp1	craniofacial development protein 1	GO:2000270	MGI	Mus musculus	IDA		MGI:MGI:2384464|PMID:12153613	20130628
Cfdp1	craniofacial development protein 1	GO:0006338	GO_Central	Mus musculus	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
Cfdp1	craniofacial development protein 1	GO:0000812	GO_Central	Mus musculus	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
Cfdp1	craniofacial development protein 1	GO:0005634	GO_Central	Mus musculus	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP2	Craniofacial development protein 2	GO:0003824	InterPro	Bos taurus	IEA	InterPro:IPR005135	GO_REF:0000002	20211009
CFDP2	Craniofacial development protein 2	GO:0005634	UniProt	Bos taurus	IEA	UniProtKB-SubCell:SL-0191	GO_REF:0000044	20211009
CFDP2	Craniofacial development protein 2	GO:0005737	UniProt	Bos taurus	IEA	UniProtKB-SubCell:SL-0086	GO_REF:0000044	20211009
CFDP1	Craniofacial development protein 1	GO:0007155	Ensembl	Bos taurus	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0008360	Ensembl	Bos taurus	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0042127	Ensembl	Bos taurus	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:2000270	Ensembl	Bos taurus	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0007155	Ensembl	Canis lupus familiaris	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0008360	Ensembl	Canis lupus familiaris	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0042127	Ensembl	Canis lupus familiaris	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:2000270	Ensembl	Canis lupus familiaris	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0000776	UniProt	Canis lupus familiaris	IEA	UniProtKB-KW:KW-0995	GO_REF:0000043	20211010
Cfdp1	craniofacial development protein 1	GO:0000776	UniProt	Rattus norvegicus	IEA	UniProtKB-KW:KW-0995	GO_REF:0000043|RGD:1600115	20211010
Cfdp1	craniofacial development protein 1	GO:0007155	RGD	Rattus norvegicus	ISO	MGI:1344403	RGD:1624291	20030403
Cfdp1	craniofacial development protein 1	GO:0008360	RGD	Rattus norvegicus	ISO	MGI:1344403	RGD:1624291	20030403
Cfdp1	craniofacial development protein 1	GO:0042127	RGD	Rattus norvegicus	ISO	MGI:1344403	RGD:1624291	20030403
Cfdp1	craniofacial development protein 1	GO:2000270	RGD	Rattus norvegicus	ISO	MGI:1344403	RGD:1624291	20130628
Cfdp1	craniofacial development protein 1	GO:0006338	GO_Central	Rattus norvegicus	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
Cfdp1	craniofacial development protein 1	GO:0000812	GO_Central	Rattus norvegicus	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
Cfdp1	craniofacial development protein 1	GO:0005634	GO_Central	Rattus norvegicus	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0007155	Ensembl	Sus scrofa	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0008360	Ensembl	Sus scrofa	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0042127	Ensembl	Sus scrofa	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:2000270	Ensembl	Sus scrofa	IEA	UniProtKB:O88271|ensembl:ENSMUSP00000034432	GO_REF:0000107	20211009
CFDP1	Craniofacial development protein 1	GO:0000776	UniProt	Sus scrofa	IEA	UniProtKB-KW:KW-0995	GO_REF:0000043	20211010
CFDP1	Craniofacial development protein 1	GO:0000812	GO_Central	Canis lupus familiaris	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Canis lupus familiaris	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0005634	GO_Central	Canis lupus familiaris	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
100282347	Craniofacial development protein 1	GO:0005634	GO_Central	Zea mays	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
100282347	Craniofacial development protein 1	GO:0006338	GO_Central	Zea mays	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
LOC100177517	Craniofacial development protein 1	GO:0005634	GO_Central	Ciona intestinalis	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
LOC100177517	Craniofacial development protein 1	GO:0000812	GO_Central	Ciona intestinalis	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
LOC100177517	Craniofacial development protein 1	GO:0006338	GO_Central	Ciona intestinalis	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
8040891	Craniofacial development protein, putative	GO:0005634	GO_Central	Ixodes scapularis	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
8040891	Craniofacial development protein, putative	GO:0006338	GO_Central	Ixodes scapularis	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
8040891	Craniofacial development protein, putative	GO:0000812	GO_Central	Ixodes scapularis	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
W5MMZ9	Craniofacial development protein 1	GO:0000812	GO_Central	Lepisosteus oculatus	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
W5MMZ9	Craniofacial development protein 1	GO:0005634	GO_Central	Lepisosteus oculatus	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
W5MMZ9	Craniofacial development protein 1	GO:0006338	GO_Central	Lepisosteus oculatus	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0005634	GO_Central	Pan troglodytes	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Pan troglodytes	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0000812	GO_Central	Pan troglodytes	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
CFDP2	Craniofacial development protein 2	GO:0006338	GO_Central	Bos taurus	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP2	Craniofacial development protein 2	GO:0005634	GO_Central	Bos taurus	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
G3RL47	Craniofacial development protein 1	GO:0005634	GO_Central	Gorilla gorilla gorilla	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
G3RL47	Craniofacial development protein 1	GO:0000812	GO_Central	Gorilla gorilla gorilla	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
